# Position [m],Scalar_Field [GeV],Effective_Mass [GeV],Metric_Factor,Gamma_Mu [GeV]
1.378378e-15,3.679657e+10,1.028991e+07,1.000135e+00,-3.732109e+11
1.384384e-15,3.619103e+10,1.004096e+07,1.000131e+00,-3.626033e+11
1.390390e-15,3.559290e+10,9.796257e+06,1.000127e+00,-3.522398e+11
1.396396e-15,3.500212e+10,9.555780e+06,1.000123e+00,-3.421167e+11
1.402402e-15,3.441867e+10,9.319516e+06,1.000118e+00,-3.322303e+11
1.408408e-15,3.384250e+10,9.087449e+06,1.000115e+00,-3.225772e+11
1.414414e-15,3.327357e+10,8.859560e+06,1.000111e+00,-3.131536e+11
1.420420e-15,3.271185e+10,8.635828e+06,1.000107e+00,-3.039559e+11
1.426426e-15,3.215729e+10,8.416231e+06,1.000103e+00,-2.949805e+11
1.432432e-15,3.160985e+10,8.200743e+06,1.000100e+00,-2.862238e+11
1.438438e-15,3.106949e+10,7.989339e+06,1.000097e+00,-2.776820e+11
1.444444e-15,3.053617e+10,7.781991e+06,1.000093e+00,-2.693515e+11
1.450450e-15,3.000983e+10,7.578668e+06,1.000090e+00,-2.612287e+11
1.456456e-15,2.949044e+10,7.379340e+06,1.000087e+00,-2.533099e+11
1.462462e-15,2.897795e+10,7.183973e+06,1.000084e+00,-2.455916e+11
1.468468e-15,2.847231e+10,6.992533e+06,1.000081e+00,-2.380700e+11
1.474474e-15,2.797347e+10,6.804985e+06,1.000078e+00,-2.307416e+11
1.480480e-15,2.748139e+10,6.621293e+06,1.000076e+00,-2.236028e+11
1.486486e-15,2.699602e+10,6.441417e+06,1.000073e+00,-2.166501e+11
1.492492e-15,2.651731e+10,6.265319e+06,1.000070e+00,-2.098797e+11
1.498498e-15,2.604521e+10,6.092959e+06,1.000068e+00,-2.032884e+11
1.504505e-15,2.557967e+10,5.924295e+06,1.000065e+00,-1.968724e+11
1.510511e-15,2.512063e+10,5.759286e+06,1.000063e+00,-1.906284e+11
1.516517e-15,2.466806e+10,5.597888e+06,1.000061e+00,-1.845528e+11
1.522523e-15,2.422189e+10,5.440057e+06,1.000059e+00,-1.786423e+11
1.528529e-15,2.378207e+10,5.285749e+06,1.000057e+00,-1.728934e+11
1.534535e-15,2.334856e+10,5.134918e+06,1.000055e+00,-1.673028e+11
1.540541e-15,2.292129e+10,4.987519e+06,1.000053e+00,-1.618671e+11
1.546547e-15,2.250023e+10,4.843505e+06,1.000051e+00,-1.565830e+11
1.552553e-15,2.208530e+10,4.702828e+06,1.000049e+00,-1.514473e+11
1.558559e-15,2.167646e+10,4.565442e+06,1.000047e+00,-1.464567e+11
1.564565e-15,2.127365e+10,4.431299e+06,1.000045e+00,-1.416080e+11
1.570571e-15,2.087682e+10,4.300349e+06,1.000044e+00,-1.368981e+11
1.576577e-15,2.048592e+10,4.172546e+06,1.000042e+00,-1.323237e+11
1.582583e-15,2.010089e+10,4.047838e+06,1.000040e+00,-1.278819e+11
1.588589e-15,1.972167e+10,3.926179e+06,1.000039e+00,-1.235696e+11
1.594595e-15,1.934820e+10,3.807517e+06,1.000037e+00,-1.193838e+11
1.600601e-15,1.898045e+10,3.691805e+06,1.000036e+00,-1.153215e+11
1.606607e-15,1.861833e+10,3.578992e+06,1.000035e+00,-1.113797e+11
1.612613e-15,1.826181e+10,3.469028e+06,1.000033e+00,-1.075557e+11
1.618619e-15,1.791083e+10,3.361865e+06,1.000032e+00,-1.038465e+11
1.624625e-15,1.756532e+10,3.257452e+06,1.000031e+00,-1.002494e+11
1.630631e-15,1.722523e+10,3.155741e+06,1.000030e+00,-9.676156e+10
1.636637e-15,1.689051e+10,3.056681e+06,1.000029e+00,-9.338035e+10
1.642643e-15,1.656110e+10,2.960224e+06,1.000027e+00,-9.010308e+10
1.648649e-15,1.623694e+10,2.866321e+06,1.000026e+00,-8.692712e+10
1.654655e-15,1.591798e+10,2.774922e+06,1.000025e+00,-8.384988e+10
1.660661e-15,1.560416e+10,2.685980e+06,1.000024e+00,-8.086885e+10
1.666667e-15,1.529542e+10,2.599445e+06,1.000023e+00,-7.798152e+10
1.672673e-15,1.499171e+10,2.515269e+06,1.000022e+00,-7.518545e+10
1.678679e-15,1.469297e+10,2.433406e+06,1.000022e+00,-7.247824e+10
1.684685e-15,1.439915e+10,2.353807e+06,1.000021e+00,-6.985753e+10
1.690691e-15,1.411018e+10,2.276425e+06,1.000020e+00,-6.732101e+10
1.696697e-15,1.382601e+10,2.201215e+06,1.000019e+00,-6.486641e+10
1.702703e-15,1.354659e+10,2.128128e+06,1.000018e+00,-6.249151e+10
1.708709e-15,1.327186e+10,2.057120e+06,1.000018e+00,-6.019411e+10
1.714715e-15,1.300176e+10,1.988146e+06,1.000017e+00,-5.797210e+10
1.720721e-15,1.273624e+10,1.921160e+06,1.000016e+00,-5.582337e+10
1.726727e-15,1.247525e+10,1.856117e+06,1.000016e+00,-5.374587e+10
1.732733e-15,1.221872e+10,1.792975e+06,1.000015e+00,-5.173759e+10
1.738739e-15,1.196660e+10,1.731689e+06,1.000014e+00,-4.979657e+10
1.744745e-15,1.171883e+10,1.672217e+06,1.000014e+00,-4.792088e+10
1.750751e-15,1.147537e+10,1.614516e+06,1.000013e+00,-4.610864e+10
1.756757e-15,1.123616e+10,1.558544e+06,1.000013e+00,-4.435801e+10
1.762763e-15,1.100114e+10,1.504261e+06,1.000012e+00,-4.266719e+10
1.768769e-15,1.077026e+10,1.451625e+06,1.000012e+00,-4.103442e+10
1.774775e-15,1.054346e+10,1.400596e+06,1.000011e+00,-3.945799e+10
1.780781e-15,1.032070e+10,1.351136e+06,1.000011e+00,-3.793621e+10
1.786787e-15,1.010191e+10,1.303204e+06,1.000010e+00,-3.646744e+10
1.792793e-15,9.887047e+09,1.256763e+06,1.000010e+00,-3.505008e+10
1.798799e-15,9.676056e+09,1.211775e+06,1.000009e+00,-3.368258e+10
1.804805e-15,9.468885e+09,1.168203e+06,1.000009e+00,-3.236339e+10
1.810811e-15,9.265481e+09,1.126010e+06,1.000009e+00,-3.109104e+10
1.816817e-15,9.065792e+09,1.085160e+06,1.000008e+00,-2.986407e+10
1.822823e-15,8.869767e+09,1.045619e+06,1.000008e+00,-2.868108e+10
1.828829e-15,8.677354e+09,1.007351e+06,1.000008e+00,-2.754066e+10
1.834835e-15,8.488503e+09,9.703226e+05,1.000007e+00,-2.644150e+10
1.840841e-15,8.303163e+09,9.345006e+05,1.000007e+00,-2.538227e+10
1.846847e-15,8.121284e+09,8.998521e+05,1.000007e+00,-2.436169e+10
1.852853e-15,7.942816e+09,8.663449e+05,1.000006e+00,-2.337853e+10
1.858859e-15,7.767709e+09,8.339475e+05,1.000006e+00,-2.243157e+10
1.864865e-15,7.595915e+09,8.026291e+05,1.000006e+00,-2.151964e+10
1.870871e-15,7.427384e+09,7.723593e+05,1.000006e+00,-2.064159e+10
1.876877e-15,7.262069e+09,7.431085e+05,1.000005e+00,-1.979631e+10
1.882883e-15,7.099920e+09,7.148478e+05,1.000005e+00,-1.898270e+10
1.888889e-15,6.940892e+09,6.875486e+05,1.000005e+00,-1.819973e+10
1.894895e-15,6.784936e+09,6.611831e+05,1.000005e+00,-1.744635e+10
1.900901e-15,6.632006e+09,6.357242e+05,1.000004e+00,-1.672158e+10
1.906907e-15,6.482055e+09,6.111452e+05,1.000004e+00,-1.602445e+10
1.912913e-15,6.335037e+09,5.874200e+05,1.000004e+00,-1.535401e+10
1.918919e-15,6.190908e+09,5.645233e+05,1.000004e+00,-1.470935e+10
1.924925e-15,6.049621e+09,5.424302e+05,1.000004e+00,-1.408959e+10
1.930931e-15,5.911132e+09,5.211164e+05,1.000003e+00,-1.349387e+10
1.936937e-15,5.775396e+09,5.005581e+05,1.000003e+00,-1.292134e+10
1.942943e-15,5.642370e+09,4.807323e+05,1.000003e+00,-1.237120e+10
1.948949e-15,5.512011e+09,4.616162e+05,1.000003e+00,-1.184266e+10
1.954955e-15,5.384275e+09,4.431880e+05,1.000003e+00,-1.133496e+10
1.960961e-15,5.259120e+09,4.254260e+05,1.000003e+00,-1.084735e+10
1.966967e-15,5.136503e+09,4.083092e+05,1.000003e+00,-1.037913e+10
1.972973e-15,5.016383e+09,3.918173e+05,1.000003e+00,-9.929593e+09
1.978979e-15,4.898719e+09,3.759304e+05,1.000002e+00,-9.498066e+09
